Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2015-02-11,22,Theft,10H40,Apartment Parking Lot,2500-2599,MILAM,-,-,1
2015-02-01,18,Theft,10H40,Apartment Parking Lot,2700-2799,TRAVIS,-,-,1
2015-01-23,16,Theft,10H40,Bar or Night Club,2000-2099,MAIN,ST,-,1
2015-02-01,01,Theft,10H40,Bar or Night Club,2400-2499,SAN JACINTO,-,-,1
2015-02-11,20,Theft,10H40,Residence or House,2800-2899,JACKSON,ST,-,1
2015-02-14,11,Theft,10H40,Garage or Carport,3200-3299,CRAWFORD,-,-,1
2015-02-16,20,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-02-28,20,Theft,10H40,"Road, Street, or Sidewalk",3500-3599,MILAM,-,-,1
2014-12-26,18,Theft,10H40,Other Parking Lot,2600-2699,MILAM,-,-,1
2015-02-27,08,Theft,10H40,Apartment Parking Lot,2800-2899,AUSTIN,ST,-,1
2015-02-20,18,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-02-20,20,Theft,10H40,"Gym, Recreat, Club House, Indoor Pool, Spa",700-799,ELGIN,ST,-,1
2015-02-20,19,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-02-24,14,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-02-27,03,Theft,10H40,"Road, Street, or Sidewalk",3300-3399,MILAM,-,-,1
2015-02-27,14,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1
2015-02-27,23,Rape,10H40,Vacant Other Out Build/Monument/UnderConst,1900-1999,MCGOWEN,ST,-,1
2015-02-28,16,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-02-04,23,Robbery,10H40,Service or Gas Station,2100-2199,FANNIN,ST,-,1
2015-02-06,02,Theft,10H40,Commercial Parking Lot or Garage,2900-2999,SAN JACINTO,-,-,3
2015-02-06,15,Robbery,10H40,Bar or Night Club Parking Lot,2600-2699,TRAVIS,-,-,1
2015-01-31,14,Theft,10H40,Bar or Night Club,2700-2799,MILAM,-,-,1
2015-02-01,07,Burglary,10H40,Bar or Night Club,3700-3799,MAIN,ST,-,1
2015-02-13,20,Auto Theft,10H40,"Road, Street, or Sidewalk",2700-2799,JACKSON,ST,-,1
2015-02-11,21,Robbery,10H40,Convenience Store Parking Lot,1000-1099,ELGIN,ST,-,1
2015-02-22,09,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-02-24,12,Theft,10H40,Sexually Oriented Business Parking Lot,1100-1199,HADLEY,ST,-,1
2012-11-29,12,Theft,10H40,"Parks and Recreation, Zoo, Swimming Pool",1700-1799,ELGIN,ST,-,1
2015-02-27,16,Theft,10H40,"Gym, Recreat, Club House, Indoor Pool, Spa",700-799,ELGIN,ST,-,1
2015-02-04,17,Theft,10H40,Miscellaneous Business (Non-Specific),4200-4299,MAIN,ST,-,1
2015-02-15,12,Theft,10H40,"Church, Synagogue, or Temple Parking Lot",3600-3699,MILAM,-,-,1
2015-02-14,20,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-02-09,11,Aggravated Assault,10H40,"Road, Street, or Sidewalk",1000-1099,HOLMAN,-,-,1
2015-02-14,19,Burglary,10H40,"Multi-Plex Home (Duplex,Triplex Etc.)",1400-1499,ISABELLA,-,-,1
2015-02-14,22,Theft,10H40,"Road, Street, or Sidewalk",1100-1199,BERRY,ST,-,1
2015-02-08,06,Theft,10H40,"Vacant Other Residential (Apartment,Dorms)",3300-3399,SAN JACINTO,-,-,1
2015-02-11,09,Theft,10H40,Apartment Parking Lot,2300-2399,MILAM,-,-,1
2015-02-03,07,Aggravated Assault,10H40,Apartment,2200-2299,AUSTIN,ST,-,1
2015-02-07,00,Robbery,10H40,"Road, Street, or Sidewalk",2000-2099,MAIN,ST,-,1
2015-02-15,13,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-02-16,14,Theft,10H40,University or College,1300-1399,HOLMAN,-,-,1
2015-02-21,03,Theft,10H40,Commercial Parking Lot or Garage,3700-3799,MAIN,ST,-,1
2015-02-26,08,Burglary,10H40,Garage or Carport,1600-1699,DENNIS,ST,-,1
2014-11-10,18,Theft,10H40,Other Parking Lot,2100-2199,MAIN,ST,-,1
2015-02-07,09,Theft,10H40,"Road, Street, or Sidewalk",1400-1499,BREMOND,ST,-,1
2015-02-05,22,Aggravated Assault,10H40,"Road, Street, or Sidewalk",3000-3099,CAROLINE,ST,-,2
2015-02-08,20,Burglary,10H40,Residence or House,1300-1399,TUAM,-,-,1
2015-02-09,02,Theft,10H40,Bar or Night Club,2900-2999,TRAVIS,-,-,1
2015-02-09,12,Theft,10H40,"Road, Street, or Sidewalk",1000-1099,MCILHENNY,ST,-,1
2015-02-16,02,Aggravated Assault,10H40,"Road, Street, or Sidewalk",4400-4499,SAN JACINTO,-,-,1
2015-02-16,14,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-02-12,16,Theft,10H40,Convenience Store,1000-1099,ALABAMA,ST,-,1
2015-02-24,12,Theft,10H40,Other Parking Lot,2100-2199,MAIN,ST,-,1
2015-02-22,12,Theft,10H40,Bar or Night Club Parking Lot,2400-2499,FANNIN,ST,-,1
2015-02-18,16,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-02-17,07,Theft,10H40,Other Parking Lot,2200-2299,MAIN,ST,-,1
2015-02-27,23,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1
2015-02-27,02,Theft,10H40,"Road, Street, or Sidewalk",2400-2499,SAN JACINTO,-,-,1
2015-02-25,01,Robbery,10H40,"Road, Street, or Sidewalk",3400-3499,FANNIN,ST,-,1
2015-02-28,10,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1
2015-02-20,13,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1
2015-02-24,17,Theft,10H40,Vacant Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-02-08,02,Robbery,10H40,Convenience Store Parking Lot,2100-2199,FANNIN,ST,-,1
2015-02-11,05,Theft,10H40,Apartment Parking Lot,2700-2799,TRAVIS,-,-,1
2015-02-01,06,Burglary,10H40,Garage or Carport,2900-2999,LA BRANCH,-,-,1
2015-02-04,13,Theft,10H40,Bus Stop,1300-1399,GRAY,-,-,1
2015-02-21,02,Aggravated Assault,10H40,Bar or Night Club,2400-2499,SAN JACINTO,-,-,1
2015-02-19,19,Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,-,-,1
2015-02-20,11,Theft,10H40,Garage or Carport,4100-4199,CAROLINE,ST,-,1
2015-02-14,21,Theft,10H40,"Road, Street, or Sidewalk",3600-3699,MILAM,-,-,1
2015-02-15,13,Theft,10H40,Drug Store or Medical Supply,1000-1099,ELGIN,ST,-,1
2015-02-15,14,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-02-13,10,Theft,10H40,Miscellaneous Business (Non-Specific),3100-3199,SAN JACINTO,-,-,1
2015-02-13,17,Theft,10H40,Garage or Carport,UNK,JACKSON,ST,-,1
2015-02-05,18,Robbery,10H40,"Road, Street, or Sidewalk",2500-2599,HAMILTON,ST,-,1
2015-01-31,16,Theft,10H40,Vehicle/Auto Sales/Lease/Auto Parts Store,2000-2099,MAIN,ST,-,1
2015-02-14,14,Theft,10H50,Residence or House,3000-3099,WEBSTER,-,-,1
2015-02-26,18,Theft,10H50,"Road, Street, or Sidewalk",3900-3999,DENNIS,ST,-,1
2015-02-07,10,Theft,10H50,Bar or Night Club,2300-2399,PIERCE,-,-,1
2015-02-23,05,Robbery,10H50,Bus Stop,2100-2199,ELGIN,ST,-,1
2015-02-20,11,Theft,10H50,Residence or House,3300-3399,ELGIN,ST,-,1
2015-02-19,18,Theft,10H50,Apartment,2500-2599,DELANO,-,-,1
2015-02-28,16,Burglary,10H50,Residence or House,3800-3899,TUAM,-,-,1
2015-02-25,08,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3400-3499,DREW,ST,-,1
2015-02-24,18,Theft,10H50,Residence or House,3300-3399,HOLMAN,-,-,1
2015-02-24,23,Aggravated Assault,10H50,"Road, Street, or Sidewalk",2200-2299,SAINT EMANUEL,ST,-,1
2015-02-27,12,Burglary,10H50,"Vacant Church, Synagogue, or Temple",2200-2299,ELGIN,ST,-,1
2015-02-07,08,Theft,10H50,Bar or Night Club,3300-3399,DOWLING,ST,-,1
2015-02-26,00,Aggravated Assault,10H50,Residence or House,3200-3299,REEVES,-,-,1
2015-02-28,02,Aggravated Assault,10H50,Residence or House,3700-3799,BREMOND,ST,-,1
2015-02-25,11,Auto Theft,10H50,Residence or House,3200-3299,DELANO,-,-,1
2015-02-17,20,Theft,10H50,"Road, Street, or Sidewalk",2400-2499,BRILEY,ST,-,1
2015-02-06,23,Theft,10H50,Bar or Night Club,2300-2399,PIERCE,-,-,1
2015-02-05,12,Burglary,10H50,Garage or Carport,2800-2899,LEEK,-,-,1
2015-02-02,15,Theft,10H50,Bar or Night Club,2100-2199,GRAY,-,-,1
2015-02-02,09,Auto Theft,10H50,Other Parking Lot,3400-3499,NAPOLEON,-,-,1
2015-02-11,18,Aggravated Assault,10H50,Residence or House,3200-3299,MCGOWEN,ST,-,1
2015-02-13,21,Robbery,10H50,"Road, Street, or Sidewalk",3000-3099,HOLMAN,-,-,1
2015-02-11,21,Theft,10H50,Residence or House,2700-2799,DELANO,-,-,1
2015-02-12,17,Theft,10H50,Service or Gas Station,3000-3099,ELGIN,ST,-,1
2015-02-14,00,Theft,10H50,Driveway,3100-3199,PAIGE,-,-,1
2015-02-14,04,Robbery,10H50,"Road, Street, or Sidewalk",3800-3899,WHEELER,-,-,1
2015-02-17,00,Theft,10H50,Convenience Store,3000-3099,SCOTT,ST,-,1
2015-02-05,10,Theft,10H50,Apartment,3300-3399,ALABAMA,ST,-,1
2015-02-06,15,Burglary,10H50,Residence or House,3300-3399,MCILHENNY,ST,-,1
2015-02-27,19,Robbery,10H50,"Road, Street, or Sidewalk",3600-3699,BRILEY,ST,-,1
2015-02-27,13,Theft,10H50,Residence or House,3200-3299,BEULAH,ST,-,1
2015-02-24,17,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3000-3099,BURKETT,ST,-,2
2015-02-25,14,Burglary,10H50,Residence or House,3600-3699,DENNIS,ST,-,1
