Date,_unnamed,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2010-01-08,,18,Robbery,6B60,13B,17100-17199,IMPERIAL VALLEY,DR,-,1
2010-01-12,,04,Robbery,11H30,13R,8000-8099,KIMBLE,-,-,1
2010-01-12,,00,Robbery,7C20,13R,5000-5099,CRANE,ST,-,1
2010-01-08,,19,Robbery,5F20,13R,8500-8599,PITNER,-,-,1
2010-01-10,,05,Robbery,5F10,18O,7700-7799,SHADY VILLA,LN,-,1
2010-01-10,,00,Robbery,14D30,13R,7700-7799,CRESTMONT,ST,-,1
2010-01-20,,23,Robbery,7C40,18C,4100-4199,PARKER,RD,-,1
2010-01-29,,16,Robbery,10H60,13R,3000-3099,BARBEE,ST,-,1
2010-01-29,,14,Robbery,18F50,13R,8600-8699,RICHMOND,AVE,-,1
2010-01-03,,20,Robbery,9C20,18C,6900-6999,MARKET,ST,-,1
2010-01-09,,13,Robbery,9C20,18R,6000-6099,LYONS,-,-,1
2010-01-15,,12,Robbery,13D10,18T,6800-6899,GULF,FWY,-,1
2010-01-04,,04,Robbery,14D20,13R,7400-7499,CALHOUN,RD,-,1
2010-01-04,,02,Robbery,18F40,13R,6500-6599,WESTHEIMER,RD,-,1
2010-01-02,,21,Robbery,19G50,18C,10100-10199,FORUM PARK,DR,-,1
2010-01-03,,23,Robbery,16E30,13R,12900-12999,POST OAK,RD,S,1
2010-01-01,,18,Robbery,5F20,13R,4100-4199,CAMPBELL,RD,-,1
2010-01-03,,17,Robbery,17E10,13R,6200-6299,WESTWARD,-,-,1
2010-01-13,,05,Robbery,8C60,18T,7700-7799,LITTLE YORK,RD,-,1
2010-01-21,,16,Robbery,3B10,13R,4100-4199,LOCKFIELD,-,-,1
2010-01-20,,18,Robbery,10H50,13R,3700-3799,BURKETT,ST,-,1
2010-01-09,,20,Robbery,17E10,18G,6900-6999,HILLCROFT,-,-,1
2010-01-29,,21,Robbery,3B50,13R,100-199,LYERLY,-,-,1
2010-01-30,,10,Robbery,11H10,18O,100-199,69TH,ST,S,1
2000-12-24,,19,Robbery,11H10,13R,6800-6899,CANAL,ST,-,1
2010-01-12,,23,Robbery,2A50,18C,1800-1899,SHEPHERD,DR,-,1
2009-01-07,,02,Robbery,3B10,13S,10300-10399,NORTHWEST,FWY,-,1
2010-01-27,,08,Robbery,14D10,18C,6800-6899,CULLEN,BLVD,-,1
2003-09-01,,23,Robbery,12D10,18G,1300-1399,REDFORD,-,-,1
2010-01-09,,14,Robbery,6B10,18G,100-199,LITTLE YORK,RD,-,1
2010-01-27,,03,Robbery,10H50,13A,3300-3399,BREMOND,ST,-,1
2010-01-26,,23,Robbery,6B10,18C,6200-6299,NORTHLINE,DR,-,1
2010-01-24,,02,Robbery,1A10,18N,500-599,DALLAS,ST,W,1
2010-01-28,,21,Robbery,14D20,13R,8500-8599,SCOTT,-,-,1
2010-01-11,,20,Robbery,17E30,18C,8900-8999,BRAESWOOD,BLVD,S,1
2010-01-11,,17,Robbery,16E40,13R,15600-15699,BRIAR SPRING,CT,-,1
2010-01-28,,19,Robbery,19G10,18R,10900-10999,BEECHNUT,ST,-,1
2010-01-17,,05,Robbery,19G50,18T,9700-9799,BISSONNET,ST,-,1
2010-01-09,,19,Robbery,3B50,18G,4700-4799,AIRLINE,DR,-,1
2010-01-31,,19,Robbery,18F60,20A,6400-6499,GESSNER,DR,S,1
2010-01-19,,22,Robbery,18F60,18W,8100-8199,ROOS,-,-,1
2010-01-19,,21,Robbery,14D10,13R,3300-3399,OLD SPANISH,TRL,-,1
