Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2009-07-10,12,Theft,10H80,20D,1100-1199,MILFORD,ST,-,1
2009-07-10,00,Theft,1A30,18N,2800-2899,SHEPHERD,DR,S,1
2009-07-11,11,Burglary,10H80,20R,1100-1199,BARKDULL,ST,-,1
2009-07-11,08,Theft,10H50,20A,0-99,COUGAR PLACE,DR,-,1
2009-07-15,23,Robbery,7C10,20A,1200-1299,GREGG,ST,-,1
2009-07-15,16,Theft,5F40,080,7900-7999,FM 1960,-,W,1
2009-07-15,17,Theft,1A10,250,1200-1299,TRAVIS,ST,-,1
2009-07-15,10,Theft,10H70,060,3000-3099,MACGREGOR,WAY,S,1
2009-07-16,14,Theft,10H10,250,2500-2599,CANAL,ST,-,1
2009-07-17,12,Burglary,12D20,20R,11000-11099,SAGEVALLEY,DR,-,1
2009-07-17,08,Theft,19G50,20A,10500-10599,BISSONNET,ST,-,1
2009-07-20,13,Theft,16E30,05E,15200-15299,POST OAK,RD,S,1
2009-07-22,00,Auto Theft,20G40,18A,2300-2399,HAYES,RD,-,1
2009-07-22,00,Theft,19G20,20R,7500-7599,SHINER,LN,-,1
2009-07-25,08,Burglary,19G50,20A,11000-11099,KINGHURST,-,-,1
2009-07-25,00,Auto Theft,13D20,20D,7300-7399,DIXIE,DR,-,1
2009-07-25,14,Theft,18F20,250,5300-5399,WESTHEIMER,RD,-,1
2009-07-25,12,Theft,3B50,20R,600-699,CAPLIN,ST,-,1
2009-07-27,14,Auto Theft,5F30,20D,7000-7099,COTTON,DR,-,1
2009-07-27,11,Theft,2A20,20R,5500-5599,MICHAUX,-,-,1
2009-07-28,12,Theft,2A50,20C,5400-5499,FEAGAN,ST,-,1
2009-07-29,09,Theft,19G50,20R,11600-11699,BELLFORT,ST,W,1
2009-07-30,14,Robbery,3B40,20R,600-699,JANISCH,RD,E,1
2009-07-30,17,Theft,7C30,20A,7300-7399,CURRY,RD,-,1
2009-07-31,07,Auto Theft,16E40,20D,7500-7599,MACZALI,DR,-,1
2009-08-01,00,Rape,13D10,20R,100-199,WINKLER,DR,-,1
2009-08-01,12,Aggravated Assault,17E30,20A,12200-12299,SAPLING,WAY,-,1
2009-08-01,10,Burglary,19G30,20R,7200-7299,TROGON,LN,-,1
2009-08-01,17,Burglary,14D40,20R,12200-12299,ROANDALE,DR,-,1
2009-08-01,17,Theft,6B40,20V,7800-7899,BECKLEY,ST,-,1
2009-08-01,00,Theft,16E20,13R,4600-4699,SPRINGHILL,DR,-,1
2009-08-01,12,Theft,1A50,20A,2400-2499,WESTCREEK,LN,-,1
2009-08-01,12,Theft,5F30,05W,4600-4699,PINEMONT,-,S,1
2009-08-01,00,Theft,24C20,20R,0-99,CLUB OAK,CT,-,1
2009-08-01,17,Theft,14D20,250,9200-9299,SCOTT,-,-,1
2009-08-01,00,Theft,20G50,20D,500-599,HALLIE,-,-,1
2009-08-01,00,Theft,1A30,20D,2200-2299,PORTSMOUTH,-,-,1
2009-08-01,00,Theft,12D60,250,15400-15499,STONEHILL,DR,-,1
2009-08-01,00,Theft,9C40,20D,600-699,KENWOOD,LN,-,1
2009-08-03,18,Theft,10H80,20R,1100-1199,BARKDULL,ST,-,1
2009-08-03,00,Theft,5F20,20A,1700-1799,CAMPBELL,RD,-,1
2009-08-03,00,Theft,20G20,20D,10600-10699,BRIAR FOREST,DR,-,1
2009-08-04,00,Theft,20G30,080,2700-2799,KIRKWOOD,DR,S,1
2009-08-06,00,Theft,19G40,060,11300-11399,BARRETT BRAE,DR,-,1
2009-08-07,11,Theft,20G30,20A,2700-2799,DAIRY ASHFORD,-,S,1
2009-08-08,10,Theft,18F10,05D,100-199,POST OAK,LN,N,1
2009-08-08,08,Theft,7C50,140,15600-15699,JOHN F KENNEDY,BLVD,-,1
2009-08-08,14,Theft,12D70,080,500-599,BARRINGER,LN,-,1
2009-08-08,13,Theft,7C10,18W,1300-1399,BENSON,ST,-,1
2009-08-09,00,Burglary,19G10,240,8800-8899,BOONE,RD,-,1
2009-08-10,08,Burglary,14D30,20R,5600-5699,NORTHRIDGE,DR,-,1
2009-08-10,00,Theft,21I10,05C,2800-2899,TERMINAL,RD,N,1
2009-08-10,15,Theft,6B50,20R,100-199,GOODSON,DR,-,1
