Date,_unnamed,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2010-11-03,,11,Robbery,19G50,18A,10200-10299,FORUM WEST,DR,-,1
2010-11-11,,22,Robbery,17E40,20A,12500-12599,DUNLAP,ST,-,1
2010-11-07,,12,Robbery,10H50,01B,3100-3199,CLEBURNE,ST,-,1
2010-11-03,,13,Robbery,3B10,20A,5800-5899,SUNFOREST,-,-,1
2010-11-03,,03,Robbery,19G50,20A,10100-10199,FORUM PARK,DR,-,1
2010-11-07,,16,Robbery,18F30,18B,2400-2499,FOUNTAIN VIEW,DR,-,1
2010-11-02,,19,Robbery,10H30,13R,2000-2099,PEASE,-,-,1
2010-11-01,,19,Robbery,15E20,18O,12000-12099,DUNLAP,ST,-,1
2010-11-08,,23,Robbery,17E20,18A,7600-7699,BEECHNUT,ST,-,1
2010-11-12,,01,Robbery,20G70,23S,12700-12799,WHITTINGTON,-,-,1
2010-11-06,,02,Robbery,13D20,20A,8500-8599,BROADWAY,ST,-,1
2010-11-05,,23,Robbery,12D60,20A,1600-1699,BAY AREA,BLVD,-,1
2010-11-12,,02,Robbery,15E30,13R,2600-2699,GRAMERCY,-,-,1
2010-11-12,,02,Robbery,10H40,13R,2300-2399,LA BRANCH,-,-,1
2010-11-05,,23,Robbery,19G10,20A,9400-9499,WEST SAM HOUSTON,PKWY,S,1
2010-11-05,,22,Robbery,13D20,18C,7100-7199,DIXIE,DR,-,1
2010-11-12,,02,Robbery,6B30,20A,6100-6199,ANTOINE,DR,-,1
2010-11-05,,22,Robbery,20G30,18A,2700-2799,WOODLAND PARK,DR,-,1
2010-11-05,,21,Robbery,14D10,13R,6800-6899,NEW YORK,-,-,1
2010-11-10,,00,Robbery,10H50,13R,3600-3699,BURKETT,ST,-,1
2010-11-05,,13,Robbery,11H30,070,8400-8499,WINKLER,DR,-,1
2010-11-06,,06,Robbery,6B60,18A,13500-13599,NORTHBOROUGH,DR,-,1
2010-11-06,,13,Robbery,2A60,02C,1200-1299,NORTH LP W,SER,S,1
2010-11-12,,12,Robbery,20G50,18T,9900-9999,KATY,FWY,-,1
2010-11-04,,00,Robbery,13D40,18A,10200-10299,TELEPHONE,RD,-,1
2010-11-06,,07,Robbery,12D10,18A,9200-9299,NATHANIEL,ST,-,1
2010-11-06,,19,Robbery,6B60,18A,13500-13599,NORTHBOROUGH,DR,-,1
2010-11-12,,20,Robbery,19G30,18A,12700-12799,LEADER,ST,-,1
2010-11-06,,23,Robbery,12D60,13R,2300-2399,GEMINI,AVE,-,1
2010-11-12,,21,Robbery,17E10,18O,6600-6699,ALDER,DR,-,1
2010-11-12,,21,Robbery,3B10,20A,4600-4699,34TH,ST,W,1
2010-11-07,,03,Robbery,19G10,13R,9500-9599,WOODFAIR,DR,-,1
2010-11-07,,10,Robbery,19G10,18A,9800-9899,CLUB CREEK,DR,-,1
2010-10-07,,11,Robbery,7C30,18R,9400-9499,JENSEN,DR,-,1
2010-11-07,,12,Robbery,20G50,070,900-999,WILCREST,DR,N,1
2010-11-07,,14,Robbery,1A20,13R,300-399,PACIFIC,-,-,1
2010-11-12,,23,Robbery,18F40,18A,9400-9499,WESTHEIMER,RD,-,1
2010-11-12,,23,Robbery,3B50,18B,5200-5299,AIRLINE,DR,-,1
2010-11-07,,14,Robbery,20G30,070,10400-10499,RICHMOND,AVE,-,1
2010-11-07,,14,Robbery,2A30,05D,1000-1099,COLUMBIA,ST,-,1
2010-11-07,,15,Robbery,12D70,18A,200-299,EL DORADO,BLVD,-,1
2010-11-07,,18,Robbery,1A30,20R,3100-3199,FERNDALE,ST,-,1
2010-11-07,,20,Robbery,10H40,18C,2100-2199,FANNIN,-,-,1
2010-11-07,,20,Robbery,10H60,05Z,2600-2699,BLODGETT,ST,-,1
2010-11-13,,00,Robbery,6B10,18N,10500-10599,BAUMAN,RD,-,1
2010-11-13,,01,Robbery,13D10,20A,2600-2699,BEATTY,ST,-,1
2010-11-07,,22,Robbery,18F30,210,6000-6099,RICHMOND,AVE,-,1
2010-11-13,,01,Robbery,19G10,18A,10100-10199,CLUB CREEK,DR,-,1
2010-11-07,,23,Robbery,19G30,20D,8000-8099,EMPEROR,LN,-,1
2010-11-07,,23,Robbery,13D20,20R,6700-6799,CAYTON,ST,-,1
2010-11-13,,02,Robbery,10H10,13R,4000-4099,WILMER,-,-,1
2010-11-08,,00,Robbery,3B10,18A,3700-3799,WATONGA,BLVD,-,1
2010-11-08,,01,Robbery,1A50,20A,2000-2099,WESTCREEK,LN,-,1
2010-11-08,,02,Robbery,3B50,20A,600-699,ROGERS,-,E,1
2010-11-08,,09,Robbery,1A50,02B,4100-4199,WESTHEIMER,RD,-,1
2010-11-08,,09,Robbery,19G50,20C,10200-10299,SUGAR BRANCH,DR,-,1
2010-11-08,,11,Robbery,19G20,18T,6800-6899,BANEWAY,DR,-,1
2010-11-08,,15,Robbery,10H50,070,3200-3299,TRUXILLO,-,-,1
2010-11-13,,11,Robbery,6B30,160,5700-5799,TIDWELL,RD,W,1
2010-11-13,,12,Robbery,19G20,13R,4200-4299,BOONE,RD,-,1
2010-11-13,,05,Robbery,19G10,18A,9900-9999,CLUB CREEK,DR,-,1
2010-11-08,,18,Robbery,1A20,13R,200-299,BREMOND,ST,-,1
2010-11-13,,14,Robbery,19G20,20D,4200-4299,BOONE,RD,-,1
2010-11-13,,14,Robbery,20G60,20A,800-899,COUNTRY PLACE,DR,-,1
2010-11-09,,00,Robbery,18F60,20R,7300-7399,TOURS,DR,-,1
2010-11-09,,09,Robbery,2A10,140,1500-1599,NORTH LP E,-,-,1
2010-11-13,,18,Robbery,14D20,18R,9300-9399,CULLEN,BLVD,-,1
2010-11-12,,23,Robbery,5F20,13R,9300-9399,SADDLE,LN,-,1
