Date,Hour,Offense Type,Beat,Block Range,Street Name,Type,Suffix,# Of
2014-07-29,15,Theft,10H40,Residence or House,3300-3399,SAN JACINTO,-,-
2014-08-06,10,Aggravated Assault,10H40,"Road, Street, or Sidewalk",1100-1199,ALABAMA,ST,-
2014-08-05,07,Theft,10H40,,1400-1499,BREMOND,ST,-
2014-08-15,12,Theft,10H40,,4200-4299,SAN JACINTO,-,-
2014-08-18,09,Theft,10H40,,4200-4299,SAN JACINTO,-,-
2014-08-17,15,Theft,10H40,Vacant Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-17,22,Theft,10H40,Convenience Store Parking Lot,2100-2199,HAMILTON,ST,-
2014-08-19,20,Burglary,10H40,Apartment,700-799,MCGOWEN,ST,-
2014-08-19,23,Theft,10H40,,2700-2799,MILAM,-,-
2014-08-24,21,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-26,11,Aggravated Assault,10H40,Convenience Store,3800-3899,SAN JACINTO,-,-
2014-08-22,11,Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,-,-
2014-08-23,08,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-30,13,Theft,10H40,,2000-2099,MAIN,ST,-
2014-08-30,21,Theft,10H40,,2100-2199,MAIN,ST,-
2014-08-31,05,Theft,10H40,Driveway,1100-1199,MCILHENNY,ST,-
2014-08-30,11,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-27,22,Theft,10H40,Restaurant or Cafeteria Parking Lot,3400-3499,MILAM,-,-
2014-08-29,17,Burglary,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-29,17,Rape,10H40,Bus Stop,2500-2599,FANNIN,-,-
2014-08-22,12,Robbery,10H40,"Road, Street, or Sidewalk",4400-4499,MAIN,ST,-
2014-08-23,17,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-
2014-08-13,23,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-
2014-08-16,17,Theft,10H40,"Church, Synagogue, or Temple Parking Lot",3300-3399,MAIN,ST,-
2014-08-02,11,Auto Theft,10H40,Residence or House,2200-2299,AUSTIN,ST,-
2014-08-03,01,Robbery,10H40,,2900-2999,FANNIN,-,-
2014-08-08,10,Theft,10H40,,4200-4299,SAN JACINTO,-,-
2014-08-09,00,Burglary,10H40,Residence or House,1800-1899,ROSALIE,-,-
2014-08-07,01,Burglary,10H40,Other Parking Lot,2600-2699,HAMILTON,ST,-
2014-08-26,14,Theft,10H40,,1000-1099,ELGIN,ST,-
2014-08-24,11,Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,-,-
2014-08-25,06,Theft,10H40,Bus Stop,2500-2599,SAN JACINTO,-,-
2014-08-21,19,Theft,10H40,Convenience Store,1000-1099,ELGIN,ST,-
2014-08-19,22,Theft,10H40,Commercial Parking Lot or Garage,1000-1099,MCGOWEN,ST,-
2014-08-17,11,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-18,11,Robbery,10H40,"Road, Street, or Sidewalk",4600-4699,MAIN,ST,-
2014-08-18,14,Theft,10H40,"Multi-Plex Home (Duplex,Triplex Etc.)",2300-2399,CRAWFORD,ST,-
2014-08-19,09,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-13,21,Aggravated Assault,10H40,Apartment,4000-4099,FANNIN,-,-
2014-08-13,07,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-15,16,Theft,10H40,,800-899,ELGIN,ST,-
2014-05-14,18,Auto Theft,10H40,,1000-1099,WEBSTER,-,-
2014-06-16,09,Burglary,10H40,Apartment,4500-4599,TRAVIS,-,-
2014-07-06,15,Theft,10H40,,2100-2199,MAIN,ST,-
2014-08-02,11,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-03,02,Theft,10H40,Restaurant or Cafeteria Parking Lot,2000-2099,MAIN,ST,-
2014-08-03,10,Burglary,10H40,Apartment,2700-2799,TRAVIS,-,-
2014-08-05,18,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-10,19,Auto Theft,10H40,Other Parking Lot,2600-2699,TRAVIS,-,-
2014-08-10,03,Robbery,10H40,"Road, Street, or Sidewalk",2100-2199,FANNIN,-,-
2014-08-10,08,Theft,10H40,Residence or House,1300-1399,ROSALIE,-,-
2014-08-11,15,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-11,02,Theft,10H40,"Road, Street, or Sidewalk",2200-2299,AUSTIN,ST,-
2014-08-27,13,Theft,10H40,Drug Store or Medical Supply,1000-1099,ELGIN,ST,-
2014-08-28,09,Burglary,10H40,Office Building,3600-3699,MAIN,ST,-
2014-08-02,14,Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,-,-
2014-08-05,09,Theft,10H40,Driveway,3200-3299,LA BRANCH,-,-
2014-08-06,03,Aggravated Assault,10H40,Bus Station,2100-2199,MAIN,ST,-
2014-08-11,13,Theft,10H40,Bar or Night Club,2900-2999,TRAVIS,-,-
2014-08-09,11,Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,-,-
2014-08-08,22,Theft,10H40,Bar or Night Club,2900-2999,TRAVIS,-,-
2014-08-09,17,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-08,19,Theft,10H40,Residence or House,4000-4099,AUSTIN,ST,-
2014-08-18,00,Auto Theft,10H40,"Hotel, Motel, Inn, Etc.",2500-2599,HAMILTON,ST,-
2014-08-13,09,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-14,06,Theft,10H40,"Road, Street, or Sidewalk",1700-1799,TUAM,-,-
2014-08-15,01,Theft,10H40,"Road, Street, or Sidewalk",800-899,MCGOWEN,ST,-
2014-08-25,12,Theft,10H40,,2100-2199,MAIN,ST,-
2014-08-25,12,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
