Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2014-10-09,12,Robbery,10H40,Other Parking Lot,3800-3899,SAN JACINTO,-,-,1
2014-10-10,21,Theft,10H40,"Road, Street, or Sidewalk",3500-3599,MAIN,ST,-,1
2014-10-26,18,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-10-27,02,Theft,10H40,"Road, Street, or Sidewalk",2500-2599,FANNIN,-,-,1
2014-10-27,09,Auto Theft,10H40,"Road, Street, or Sidewalk",1100-1199,MCILHENNY,ST,-,1
2014-10-16,20,Burglary,10H40,Residence or House,1500-1599,CLEBURNE,ST,-,1
2014-10-17,21,Theft,10H40,,2100-2199,MAIN,ST,-,1
2014-10-20,12,Theft,10H40,Miscellaneous Business (Non-Specific),3100-3199,TRAVIS,-,-,1
2014-10-15,10,Theft,10H40,"Road, Street, or Sidewalk",3400-3499,CAROLINE,ST,-,1
2014-10-18,03,Theft,10H40,,2700-2799,MILAM,-,-,2
2014-10-26,20,Theft,10H40,Apartment Laundry,1700-1799,GRAY,-,-,1
2014-10-27,21,Robbery,10H40,Restaurant or Cafeteria Parking Lot,2000-2099,MAIN,ST,-,1
2014-10-23,08,Auto Theft,10H40,Convenience Store Parking Lot,400-499,RICHMOND,AVE,-,1
2014-10-02,06,Theft,10H40,Garage or Carport,3200-3299,CHENEVERT,-,-,1
2014-10-03,09,Theft,10H40,Restaurant or Cafeteria Parking Lot,2000-2099,MAIN,ST,-,1
2014-10-14,11,Theft,10H40,,4200-4299,SAN JACINTO,-,-,1
2014-10-28,16,Theft,10H40,"Road, Street, or Sidewalk",4100-4199,CAROLINE,ST,-,1
2014-10-23,12,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-10-22,19,Aggravated Assault,10H40,"Road, Street, or Sidewalk",1100-1199,ELGIN,ST,-,1
2014-10-28,23,Aggravated Assault,10H40,Bus Stop,2100-2199,LA BRANCH,-,-,1
2014-10-25,11,Theft,10H40,Bus Stop,2100-2199,MAIN,ST,-,1
2014-10-26,08,Rape,10H40,"Other, Unknown, or Not Listed",4100-4199,MAIN,ST,-,1
2014-10-18,16,Burglary,10H40,Residence or House,1500-1599,ROSALIE,-,-,1
2014-10-16,13,Robbery,10H40,"Road, Street, or Sidewalk",1000-1099,ELGIN,ST,-,1
2014-10-07,20,Theft,10H40,Convenience Store,1000-1099,ELGIN,ST,-,1
2014-10-02,13,Theft,10H40,,4200-4299,MAIN,ST,-,1
2014-10-30,18,Theft,10H40,"Road, Street, or Sidewalk",2400-2499,AUSTIN,ST,-,1
2014-10-19,04,Aggravated Assault,10H40,,1000-1099,ELGIN,ST,-,1
2014-10-19,02,Aggravated Assault,10H40,"Road, Street, or Sidewalk",3000-3099,SAN JACINTO,-,-,1
2014-10-20,12,Theft,10H40,,3400-3499,LA BRANCH,-,-,1
2014-10-24,08,Theft,10H40,Restaurant or Cafeteria Parking Lot,3400-3499,MILAM,-,-,1
2014-10-21,21,Theft,10H40,Restaurant or Cafeteria Parking Lot,3400-3499,MILAM,-,-,1
2014-10-05,20,Theft,10H40,,2400-2499,MILAM,-,-,1
2014-02-06,11,Theft,10H40,University or College,1800-1899,HOLMAN,-,-,1
2014-10-13,14,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-10-12,04,Auto Theft,10H40,Bar or Night Club Parking Lot,2400-2499,SAN JACINTO,-,-,1
2014-10-09,15,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-10-09,18,Robbery,10H40,Convenience Store,2200-2299,MAIN,ST,-,1
2014-10-09,08,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-10-10,19,Aggravated Assault,10H50,Bar or Night Club,2800-2899,PIERCE,-,-,2
2014-10-03,02,Robbery,10H50,"Road, Street, or Sidewalk",3200-3299,TUAM,-,-,1
2014-10-05,11,Theft,10H50,Driveway,2100-2199,STUART,-,-,1
2014-10-17,13,Theft,10H50,University or College,UNK,COBB ST,-,-,1
2014-10-13,22,Auto Theft,10H50,Driveway,3400-3499,BEULAH,ST,-,1
2014-10-15,14,Robbery,10H50,"Road, Street, or Sidewalk",2600-2699,BASTROP,ST,-,1
2014-10-16,09,Robbery,10H50,"Road, Street, or Sidewalk",2700-2799,ALABAMA,ST,-,1
2014-10-29,10,Auto Theft,10H50,Residence or House,3700-3799,TUAM,-,-,1
2014-10-28,21,Theft,10H50,"Road, Street, or Sidewalk",2500-2599,CLEBURNE,ST,-,1
2014-10-06,09,Burglary,10H50,Residence or House,2300-2399,TRUXILLO,-,-,1
