Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2015-01-23,22,Burglary,8C10,Apartment,9600-9699,HOMESTEAD,RD,-,1
2015-01-02,14,Burglary,8C10,Vacant Building (Commercial),5000-5099,CROSSTIMBERS,-,E,1
2015-01-02,21,Aggravated Assault,8C10,"Road, Street, or Sidewalk",7000-7099,TIDWELL,RD,-,1
2015-01-02,21,Theft,8C10,Convenience Store,8100-8199,LOCKWOOD,DR,-,1
2015-01-02,16,Burglary,8C10,Residence or House,4500-4599,BENNINGTON,ST,-,1
2015-01-01,20,Aggravated Assault,8C10,Residence or House,8100-8199,HOFFMAN,-,-,1
2015-01-01,23,Theft,8C10,Drug Store or Medical Supply,6600-6699,TIDWELL,-,-,1
2015-01-04,04,Burglary,8C10,Restaurant or Cafeteria,9400-9499,HOMESTEAD,RD,-,1
2015-01-04,05,Auto Theft,8C10,Apartment Parking Lot,9500-9599,CROFTON,ST,-,1
2015-01-03,16,Theft,8C10,Convenience Store,7100-7199,TIDWELL,RD,-,1
2015-01-03,11,Theft,8C10,Apartment,9500-9599,CROFTON,ST,-,1
2015-01-03,08,Theft,8C10,Residence or House,8600-8699,CLARINGTON,-,-,1
2015-01-05,10,Auto Theft,8C10,"Road, Street, or Sidewalk",7000-7099,TIDWELL,RD,-,1
2015-01-06,12,Aggravated Assault,8C10,Residence or House,4300-4399,MALDON,CT,-,1
2015-01-06,15,Aggravated Assault,8C10,"Road, Street, or Sidewalk",4200-4299,BENNINGTON,ST,-,2
2015-01-06,16,Auto Theft,8C10,"Church, Synagogue, or Temple Parking Lot",7700-7799,SANDRA,-,-,1
2015-01-06,18,Burglary,8C10,Residence or House,7300-7399,WILEYVALE,RD,-,1
2015-01-08,13,Auto Theft,8C10,Other Parking Lot,7800-7899,POINTER,-,-,1
2015-01-08,13,Auto Theft,8C10,Driveway,8000-8099,SHOTWELL,-,-,1
2015-01-08,14,Theft,8C10,Residence or House,4500-4599,FITCH,-,-,1
2015-01-08,15,Burglary,8C10,Apartment,9600-9699,HOMESTEAD,RD,-,1
2015-01-08,20,Theft,8C10,"Parks and Recreation, Zoo, Swimming Pool",9700-9799,SPAULDING,-,-,1
2015-01-07,17,Theft,8C10,Restaurant or Cafeteria,9500-9599,HOMESTEAD,RD,-,1
2015-01-07,10,Robbery,8C10,"Road, Street, or Sidewalk",6600-6699,TIDWELL,RD,-,1
2015-01-11,10,Aggravated Assault,8C10,Apartment,9600-9699,HOMESTEAD,RD,-,3
2015-01-11,10,Theft,8C10,Commercial Parking Lot or Garage,10100-10199,HIRSCH,-,-,1
2015-01-09,19,Theft,8C10,Restaurant or Cafeteria,6700-6799,TIDWELL,RD,-,1
2015-01-09,13,Theft,8C10,Residence or House,9500-9599,CROFTON,ST,-,1
2015-01-10,18,Theft,8C10,Residence or House,6700-6799,LEIGHTON,ST,-,1
2015-01-10,19,Burglary,8C10,Residence or House,4400-4499,WEAVER,RD,-,1
2015-01-10,11,Auto Theft,8C10,Residence or House,9600-9699,HOMESTEAD,RD,-,1
2015-01-10,10,Aggravated Assault,8C10,Residence or House,6100-6199,ANTHA,ST,-,2
2015-01-10,11,Theft,8C10,"Parks and Recreation, Zoo, Swimming Pool",9700-9799,SPAULDING,-,-,1
2015-01-10,14,Aggravated Assault,8C10,"Road, Street, or Sidewalk",8800-8899,SPAULDING,-,-,1
2015-01-14,10,Theft,8C10,"Church, Synagogue, or Temple",7500-7599,HIRSCH,RD,-,1
2015-01-14,04,Theft,8C10,Apartment Parking Lot,9600-9699,CROFTON,ST,-,1
2015-01-14,07,Theft,8C10,Apartment Parking Lot,9600-9699,HOMESTEAD,RD,-,1
2015-01-13,16,Burglary,8C10,Garage or Carport,9200-9299,SHADY,DR,-,1
2015-01-13,16,Theft,8C10,Drug Store or Medical Supply,6600-6699,TIDWELL,RD,-,1
2015-01-13,17,Theft,8C10,Apartment Parking Lot,9500-9599,CROFTON,ST,-,1
2015-01-13,19,Robbery,8C10,Restaurant or Cafeteria,9500-9599,HOMESTEAD,RD,-,1
2015-01-15,07,Theft,8C10,Apartment,9600-9699,HOMESTEAD,RD,-,1
2015-01-13,00,Auto Theft,8C10,,9700-9799,HOMESTEAD,RD,-,1
2015-01-13,01,Theft,8C10,Apartment Parking Lot,9500-9599,CROFTON,ST,-,1
2015-01-12,22,Aggravated Assault,8C10,Apartment,6200-6299,TIDWELL,RD,-,1
2015-01-13,08,Theft,8C10,Apartment Parking Lot,9600-9699,HOMESTEAD,RD,-,1
2015-01-13,06,Theft,8C10,Apartment Parking Lot,9600-9699,HOMESTEAD,RD,-,1
2015-01-13,04,Theft,8C10,Apartment Parking Lot,9600-9699,HOMESTEAD,RD,-,1
2015-01-13,11,Theft,8C10,Apartment Parking Lot,9600-9699,HOMESTEAD,RD,-,1
2015-01-12,04,Burglary,8C10,Grocery Store or Supermarket,8800-8899,HOMESTEAD,RD,-,1
2015-01-12,00,Burglary,8C10,Restaurant or Cafeteria,9400-9499,HOMESTEAD,RD,-,1
2015-01-11,20,Burglary,8C10,Apartment,9500-9599,CROFTON,ST,-,1
2015-01-16,16,Theft,8C10,Convenience Store,7100-7199,TIDWELL,RD,-,1
2015-01-16,16,Theft,8C10,Restaurant or Cafeteria,9500-9599,HOMESTEAD,RD,-,1
2015-01-16,23,Theft,8C10,Apartment,9500-9599,CROFTON,ST,-,1
2015-01-15,22,Robbery,8C10,"Road, Street, or Sidewalk",6600-6699,TIDWELL,RD,-,1
2015-01-16,11,Aggravated Assault,8C10,Other Parking Lot,9500-9599,CROFTON,ST,-,1
2015-01-15,16,Robbery,8C10,Convenience Store,8100-8199,LOCKWOOD,DR,-,1
2015-01-18,19,Theft,8C10,Driveway,9200-9299,KELBURN,DR,-,1
2015-01-18,21,Theft,8C10,Residence or House,4900-4999,BOICEWOOD,-,-,1
2015-01-19,09,Theft,8C10,Construction Site,6900-6999,HIRSCH,-,-,1
2015-01-17,16,Theft,8C10,Residence or House,3700-3799,BENNINGTON,ST,-,1
2015-01-20,23,Robbery,8C10,Restaurant or Cafeteria,9400-9499,HOMESTEAD,RD,-,1
2015-01-20,18,Burglary,8C10,Apartment,9600-9699,HOMESTEAD,RD,-,1
2015-01-20,15,Theft,8C10,Apartment Parking Lot,9600-9699,HOMESTEAD,RD,-,1
2015-01-19,17,Aggravated Assault,8C10,Residence or House,8500-8599,HOFFMAN,-,-,1
2015-01-19,14,Theft,8C10,"Field, Woods, Forest, Park",9200-9299,HOMESTEAD,RD,-,1
2015-01-21,17,Auto Theft,8C10,"Hotel, Motel, Inn, Etc.",9100-9199,LOCKWOOD,DR,-,1
2015-01-21,12,Theft,8C10,Apartment Parking Lot,9500-9599,CROFTON,ST,-,1
2014-12-31,21,Theft,8C10,,9600-9699,HOMESTEAD,RD,-,1
2015-01-22,20,Robbery,8C20,Apartment Parking Lot,6700-6799,BENNINGTON,ST,-,1
2015-01-23,16,Theft,8C20,Convenience Store,6700-6799,LOCKWOOD,DR,-,1
2015-01-21,23,Burglary,8C20,"Vacant Single Occ Resd(House,Townhs,Dplex)",7200-7299,KNOLL,-,W,1
2015-01-22,20,Burglary,8C20,Residence or House,7400-7499,SUNDOWN,DR,-,1
2015-01-22,16,Theft,8C20,Service or Gas Station,7500-7599,HOMESTEAD,RD,-,1
2015-01-22,17,Theft,8C20,Grocery Store or Supermarket,7500-7599,HOMESTEAD,RD,-,1
2015-01-27,16,Theft,8C20,Apartment,6700-6799,BENNINGTON,ST,-,1
2015-01-28,18,Aggravated Assault,8C20,Department or Discount Store,7500-7599,HOMESTEAD,RD,-,2
2014-12-18,16,Burglary,8C20,Residence or House,6800-6899,SANDRA,-,-,1
2015-01-08,13,Burglary,8C20,Apartment,6700-6799,BENNINGTON,ST,-,1
2015-01-07,01,Theft,8C20,Driveway,7400-7499,TOUCHSTONE,-,-,1
2015-01-05,19,Theft,8C20,Convenience Store,6500-6599,HOMESTEAD,RD,-,1
2015-01-03,14,Robbery,8C20,Department or Discount Store,7500-7599,HOMESTEAD,RD,-,1
2015-01-04,18,Burglary,8C20,Residence or House,5100-5199,SHREVEPORT,BLVD,-,1
2015-01-01,19,Rape,8C20,"Parks and Recreation, Zoo, Swimming Pool",7300-7399,SAINT LOUIS,-,-,1
2015-01-01,07,Robbery,8C20,"Hotel, Motel, Inn, Etc.",7400-7499,SHOTWELL,-,-,1
2015-01-01,14,Theft,8C20,Apartment,6700-6799,BENNINGTON,ST,-,1
2015-01-02,20,Aggravated Assault,8C20,Residence or House,6600-6699,LOCKWOOD,DR,-,1
2015-01-21,18,Theft,8C20,Residence or House,7500-7599,HALL,ST,S,1
2015-01-20,15,Theft,8C20,"Physician, Doctor, Dentist's Office",7700-7799,TIDWELL,RD,-,1
2015-01-20,15,Robbery,8C20,Vacant Industrial or Manufacturing Blding,6600-6699,HOMESTEAD,RD,-,1
2015-01-18,16,Robbery,8C20,"Parks and Recreation, Zoo, Swimming Pool",8200-8299,DARIEN,ST,-,1
2015-01-16,20,Burglary,8C20,Residence or House,9200-9299,LEVERING,LN,-,1
2015-01-11,16,Theft,8C20,Apartment Parking Lot,6700-6799,BENNINGTON,ST,-,1
2015-01-12,13,Burglary,8C20,Residence or House,7400-7499,WEYBURN,-,-,1
2015-01-15,08,Auto Theft,8C20,Driveway,6900-6999,FINCH,ST,-,1
2015-01-15,10,Burglary,8C20,Residence or House,7300-7399,HALL,ST,S,1
2015-01-13,18,Auto Theft,8C20,Residence or House,7300-7399,CAROTHERS,ST,-,1
2015-01-14,07,Auto Theft,8C20,Apartment Parking Lot,6700-6799,BENNINGTON,ST,-,1
2015-01-14,09,Theft,8C20,Residence or House,6900-6999,APACHE,ST,-,1
2015-01-31,13,Aggravated Assault,8C30,Residence or House,7800-7899,HOMEWOOD,LN,-,1
2015-01-28,17,Theft,8C30,Residence or House,7800-7899,DARLINGTON,DR,-,1
2015-01-28,16,Aggravated Assault,8C30,Miscellaneous Business (Non-Specific),6000-6099,KNUTE,-,-,1
2015-01-29,01,Burglary,8C30,Apartment,4600-4699,WAYSIDE,-,N,1
2015-01-30,00,Aggravated Assault,8C30,Residence or House,8100-8199,SNOWDEN,-,-,1
2015-01-27,11,Auto Theft,8C30,Commercial Parking Lot or Garage,9100-9199,WAYSIDE,-,N,1
2015-01-26,07,Robbery,8C30,Residence or House,8600-8699,TREMONT,-,-,1
2015-01-22,13,Burglary,8C30,Residence or House,8100-8199,OAK KNOLL,LN,-,1
