Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2014-09-08,15,Theft,10H40,,2400-2499,SAN JACINTO,-,-,1
2014-09-26,23,Theft,10H40,,2100-2199,MAIN,ST,-,1
2014-09-29,13,Burglary,10H40,,2200-2299,TRAVIS,-,-,1
2014-09-09,06,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-09-09,16,Aggravated Assault,10H40,Apartment,4600-4699,MAIN,ST,-,1
2014-09-10,16,Theft,10H40,,4200-4299,MAIN,ST,-,1
2014-08-29,09,Robbery,10H40,"Hotel, Motel, Inn, Etc.",2600-2699,CAROLINE,ST,-,1
2014-09-03,15,Theft,10H40,,2500-2599,SAN JACINTO,-,-,1
2014-09-05,02,Aggravated Assault,10H40,,2400-2499,SAN JACINTO,-,-,1
2014-09-13,15,Theft,10H40,,4200-4299,SAN JACINTO,-,-,1
2014-09-19,14,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-09-26,10,Theft,10H40,"Road, Street, or Sidewalk",3900-3999,AUSTIN,ST,-,1
2014-09-27,03,Robbery,10H40,"Road, Street, or Sidewalk",2400-2499,SAN JACINTO,-,-,1
2014-09-28,08,Auto Theft,10H40,"Road, Street, or Sidewalk",2400-2499,SAN JACINTO,-,-,1
2014-09-24,01,Burglary,10H40,"Church, Synagogue, or Temple",4100-4199,MAIN,ST,-,1
2014-09-24,19,Theft,10H40,,1700-1799,FRANCIS,ST,-,1
2014-09-28,23,Aggravated Assault,10H40,,3400-3499,FANNIN,-,-,1
2014-09-23,10,Theft,10H40,Driveway,2300-2399,JACKSON,-,-,1
2014-09-24,15,Auto Theft,10H40,,3100-3199,CAROLINE,ST,-,1
2014-09-25,14,Theft,10H40,,4000-4099,FANNIN,ST,-,1
2014-09-18,08,Theft,10H40,,1700-1799,MCILHENNY,ST,-,1
2014-09-14,18,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-09-16,08,Theft,10H40,,3500-3599,MOSLEY,CT,-,1
2014-09-05,12,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-,1
2014-09-01,04,Auto Theft,10H40,,3000-3099,TRAVIS,-,-,1
2014-09-02,09,Theft,10H40,,1000-1099,ELGIN,ST,-,1
2014-09-02,13,Theft,10H40,,4200-4299,SAN JACINTO,-,-,1
2014-09-26,17,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-09-21,18,Theft,10H40,Bar or Night Club,UNK,BREMOND,ST,-,1
2014-09-20,15,Theft,10H40,,2600-2699,MILAM,-,-,1
2014-09-19,13,Aggravated Assault,10H40,Apartment,1500-1599,HOLMAN,-,-,1
2014-09-19,13,Theft,10H40,,4200-4299,SAN JACINTO,-,-,1
2014-09-06,18,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-09-09,14,Theft,10H40,Residence or House,2800-2899,CHENEVERT,-,-,1
2014-09-28,17,Theft,10H40,,2000-2099,MAIN,ST,-,1
2014-09-29,12,Burglary,10H40,Driveway,1800-1899,ROSALIE,-,-,1
2014-09-23,12,Theft,10H40,,4200-4299,SAN JACINTO,-,-,1
2014-09-23,06,Burglary,10H40,Commercial Building,3900-3999,ALMEDA,RD,-,1
2014-09-21,21,Theft,10H40,,2300-2399,SAN JACINTO,-,-,1
2014-09-23,16,Robbery,10H40,Other Parking Lot,4300-4399,MAIN,ST,-,1
2014-09-25,11,Robbery,10H40,"Road, Street, or Sidewalk",4500-4599,MAIN,ST,-,1
2014-09-28,06,Burglary,10H40,Warehouse,3900-3999,ALMEDA,RD,-,1
2014-09-21,02,Auto Theft,10H40,Commercial Parking Lot or Garage,2600-2699,TRAVIS,-,-,1
2014-09-19,17,Theft,10H40,Restaurant or Cafeteria Parking Lot,3400-3499,MILAM,-,-,1
2014-09-08,09,Theft,10H40,"Road, Street, or Sidewalk",1300-1399,MCILHENNY,ST,-,1
2014-09-13,07,Burglary,10H40,Construction Site,3800-3899,TRAVIS,-,-,1
2014-09-14,10,Robbery,10H40,Bar or Night Club,2400-2499,SAN JACINTO,-,-,1
2014-07-15,10,Theft,10H40,Residence or House,2500-2599,SAN JACINTO,-,-,1
2014-09-01,15,Theft,10H40,,3100-3199,SAN JACINTO,-,-,1
2014-09-01,14,Theft,10H40,,4200-4299,SAN JACINTO,-,-,1
2014-09-01,14,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-09-01,07,Theft,10H40,Miscellaneous Business (Non-Specific),3200-3299,FANNIN,ST,-,1
2014-09-06,15,Theft,10H40,,1100-1199,EAGLE,ST,-,1
2014-09-05,17,Theft,10H40,,1000-1099,ALABAMA,ST,-,1
2014-09-05,20,Robbery,10H50,"Road, Street, or Sidewalk",3400-3499,DENNIS,ST,-,1
2014-09-06,03,Robbery,10H50,"Road, Street, or Sidewalk",2600-2699,WINBERN,-,-,1
2014-09-13,03,Theft,10H50,,2000-2099,HUTCHINS,-,-,1
2014-09-19,10,Theft,10H50,,3200-3299,TRUXILLO,-,-,1
2014-09-17,22,Theft,10H50,"Church, Synagogue, or Temple Parking Lot",2300-2399,BASTROP,ST,-,1
2014-09-15,00,Aggravated Assault,10H50,Residence or House,3500-3599,SAINT CHARLES,-,-,1
2014-09-14,18,Theft,10H50,Residence or House,3100-3199,HADLEY,ST,-,1
2014-09-16,16,Theft,10H50,University or College,4100-4199,ELGIN,ST,-,1
2014-09-27,03,Burglary,10H50,Residence or House,3300-3399,REEVES,-,-,1
2014-09-25,11,Robbery,10H50,"Road, Street, or Sidewalk",3000-3099,ANITA,ST,-,1
2014-09-23,21,Robbery,10H50,Residence or House,3700-3799,TUAM,-,-,1
2014-09-22,09,Burglary,10H50,"Vacant Single Occ Resd(House,Townhs,Dplex)",2100-2199,HADLEY,ST,-,1
2014-09-28,21,Theft,10H50,,2000-2099,SAINT CHARLES,-,-,1
2014-09-09,19,Theft,10H50,,3100-3199,CULLEN,BLVD,-,1
2014-09-08,01,Aggravated Assault,10H50,Service or Gas Station,3000-3099,ELGIN,ST,-,1
2014-09-13,02,Theft,10H50,"Road, Street, or Sidewalk",2800-2899,PIERCE,-,-,1
2014-09-14,22,Theft,10H50,,3400-3499,ELGIN,ST,-,1
2014-09-06,16,Robbery,10H50,Driveway,3400-3499,ELGIN,ST,-,1
2014-09-04,06,Theft,10H50,Residence or House,2400-2499,NAPOLEON,-,-,1
2014-09-26,20,Aggravated Assault,10H50,,2800-2899,MCGOWEN,ST,-,2
2014-09-26,21,Robbery,10H50,"Road, Street, or Sidewalk",3100-3199,ISABELLA,-,-,1
2014-09-29,15,Theft,10H50,"Laundry, Dry Cleaners, Washaterias",3200-3299,MCGOWEN,ST,-,1
2014-09-05,11,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3400-3499,DENNIS,ST,-,1
2014-09-03,23,Burglary,10H50,Apartment,3700-3799,TUAM,-,-,1
2014-09-12,20,Theft,10H50,,3500-3599,ENNIS,ST,-,1
2014-09-07,17,Auto Theft,10H50,,3100-3199,GRAY,-,-,1
2014-09-07,07,Theft,10H50,Residence or House,3200-3299,BURKETT,ST,-,1
2014-09-09,18,Theft,10H50,,3300-3399,DOWLING,ST,-,1
2014-09-14,06,Burglary,10H50,Residence or House,3100-3199,TRULLEY,-,-,1
2014-09-18,12,Theft,10H50,"Hotel, Motel, Inn, Etc.",4800-4899,CALHOUN,RD,-,1
2014-09-25,02,Robbery,10H50,Residence or House,3200-3299,NAPOLEON,-,-,1
2014-09-21,22,Aggravated Assault,10H50,,4000-4099,GULF,FWY,-,1
2014-09-29,08,Burglary,10H50,Residence or House,3700-3799,CLEBURNE,ST,-,1
2014-09-27,23,Burglary,10H50,Residence or House,3200-3299,NETTLETON,-,-,1
2014-09-29,11,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3700-3799,MCGOWEN,ST,-,1
2014-09-30,14,Theft,10H50,"Road, Street, or Sidewalk",3700-3799,HOLMAN,-,-,1
2014-09-27,05,Theft,10H50,"Road, Street, or Sidewalk",2400-2499,BERRY,ST,-,1
2014-09-26,06,Theft,10H50,Bus Stop,3500-3599,LIVE OAK,-,-,1
2014-09-21,10,Aggravated Assault,10H50,Residence or House,3100-3199,BURKETT,ST,-,1
2014-09-17,19,Auto Theft,10H50,,3500-3599,DOWLING,ST,-,1
2014-09-02,04,Burglary,10H50,Residence or House,2100-2199,BERRY,ST,-,1
2014-09-03,07,Auto Theft,10H50,Driveway,2500-2599,BRILEY,ST,-,1
2014-09-08,14,Theft,10H50,Driveway,2100-2199,BERRY,ST,-,1
2014-09-07,11,Theft,10H50,,3400-3499,ELGIN,CT,-,1
