WARNING *** file size (2752234) not 512 + multiple of sector size (512)
WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses,Field11
2010-09-04,06,Robbery,6B10,20L,200-299,LITTLE YORK,RD,W,1,
2010-09-05,01,Robbery,19G50,18A,10400-10499,SOUTH,DR,-,1,
2010-09-05,05,Robbery,6B50,18R,300-399,NORTH SAM HOUSTON,PKWY,E,1,
2010-09-05,14,Robbery,3B10,20A,5600-5699,ANTOINE,DR,-,1,
2010-09-05,11,Robbery,5F20,13R,1500-1599,CAMPBELL,RD,-,1,
2010-09-05,09,Robbery,11H10,18A,6100-6199,GULF,FWY,-,1,
2010-09-05,03,Robbery,2A40,13R,1300-1399,BINGHAM,ST,-,1,
2010-09-05,02,Robbery,2A10,13R,3800-3899,IRVINGTON,BLVD,-,1,
2010-09-05,00,Robbery,18F50,13R,6000-6099,REIMS,RD,-,1,
2010-09-05,00,Robbery,14D30,20D,5900-5999,SOUTHMUND,-,-,1,
2010-09-06,02,Robbery,20G30,18A,12600-12699,HOUSTON CENTER,BLVD,W,1,
2010-09-05,00,Robbery,3B10,18A,3100-3199,MANGUM,-,-,1,
2010-09-06,03,Robbery,2A20,140,100-199,CAVALCADE,-,W,1,
2010-09-04,23,Robbery,18F30,18N,6200-6299,RICHMOND,AVE,-,1,
2010-09-04,23,Robbery,14D10,13R,4200-4299,DU PONT,-,-,1,
2010-09-04,21,Robbery,20G30,18A,11300-11399,RICHMOND,AVE,-,1,
2010-09-04,20,Robbery,18F50,13R,3100-3199,JEANETTA,-,-,1,
2010-09-04,18,Robbery,6B40,18C,7900-7999,DE PRIEST,ST,-,1,
2010-09-04,18,Robbery,20G10,18A,9700-9799,PAGEWOOD,LN,-,1,
2010-09-06,13,Robbery,5F20,080,9400-9499,HAMMERLY,-,-,1,
2010-09-04,17,Robbery,18F40,13R,8500-8599,RICHMOND,AVE,-,1,
2010-09-04,16,Robbery,3B50,18T,4400-4499,NORTH,FWY,-,1,
2010-09-03,21,Robbery,20G50,13R,10700-10799,KATY,FWY SER,S,1,
2010-09-04,15,Robbery,7C10,13R,1300-1399,SCHWEIKHARDT,-,-,1,
2010-09-04,15,Robbery,18F60,18T,8100-8199,SOUTHWEST,FWY,-,1,
2010-09-02,14,Robbery,18F60,20D,8900-8999,LEADER,ST,-,1,
2010-09-04,15,Robbery,15E40,20R,7400-7499,CAMBRIDGE,ST,-,1,
2010-09-04,13,Robbery,14D20,20A,4700-4799,WENDA,-,-,1,
2010-09-04,13,Robbery,10H10,13R,4900-4999,BRADY,ST,-,1,
2010-09-07,04,Robbery,19G10,13R,9200-9299,WOODFAIR,DR,-,1,
2010-08-03,17,Robbery,17E10,13B,7100-7199,BELLAIRE,BLVD,-,1,
2010-09-04,13,Robbery,6B20,05D,6000-6099,MONTGOMERY,RD,W,1,
2010-09-04,12,Robbery,2A10,18T,2900-2999,FULTON,ST,-,1,
2010-09-07,12,Robbery,1A50,02B,3400-3499,RICHMOND,AVE,-,1,
2010-09-07,12,Robbery,7C10,170,3300-3399,LYONS,-,-,1,
2010-09-04,09,Robbery,2A10,18T,2100-2199,MAIN,-,N,1,
2010-09-03,20,Robbery,14D10,13R,4900-4999,GRIGGS,-,-,1,
2010-09-04,03,Robbery,3B10,18R,3400-3499,MANGUM,-,-,1,
2010-09-04,01,Robbery,18F50,18A,3700-3799,GESSNER,DR,S,1,
2010-09-04,01,Robbery,18F40,20D,2500-2599,LAZY HOLLOW,DR,-,1,
2010-09-04,00,Robbery,2A30,18R,1100-1199,11TH,ST,E,1,
2010-09-04,00,Robbery,2A30,20R,900-999,PECORE,-,-,1,
2010-09-03,23,Robbery,7C50,20R,6100-6199,SPRINGHAVEN,DR,-,1,
2010-09-03,23,Robbery,18F50,18D,9200-9299,RICHMOND,AVE,-,1,
2010-09-03,23,Robbery,7C30,02B,3500-3599,TIDWELL,RD,-,1,
2010-09-03,23,Robbery,6B50,22E,200-299,CASA GRANDE,-,-,1,
2010-09-03,22,Robbery,1A20,13R,2600-2699,YOAKUM,BLVD,-,1,
2010-09-03,23,Robbery,3B30,23S,2000-2099,34TH,ST,W,1,
2010-09-03,23,Robbery,5F30,18A,8300-8399,TIDWELL,RD,W,1,
2010-09-03,22,Robbery,6B60,18A,17000-17099,IMPERIAL VALLEY,DR,-,1,
2010-09-03,21,Robbery,14D20,20R,4600-4699,STASSEN,-,-,1,
2010-09-03,21,Robbery,7C30,18C,7400-7499,JENSEN,DR,-,1,
2010-09-03,20,Robbery,6B40,18R,1800-1899,MOUNT HOUSTON,RD,W,1,
2010-09-08,03,Robbery,11H10,13R,6500-6599,LAWNDALE,-,-,1,
2010-09-03,19,Robbery,10H40,13R,4200-4299,MAIN,ST,-,1,
2010-08-30,18,Robbery,7C10,13R,2500-2599,LEE,-,-,1,
2010-09-03,16,Robbery,7C20,250,3000-3099,EASTEX,FWY,-,1,
2010-09-03,12,Robbery,20G30,18A,3400-3499,WALNUT BEND,LN,-,1,
2010-09-03,14,Robbery,14D40,20R,4200-4299,RICHMEADOW,DR,-,1,
2010-08-31,03,Robbery,7C30,20P,3300-3399,SPARKS,-,-,1,
2010-09-03,14,Robbery,8C50,060,8000-8099,STERLINGSHIRE,ST,-,1,
2010-09-03,14,Robbery,19G10,02B,9700-9799,BELLAIRE,BLVD,-,1,
2010-09-03,14,Robbery,10H80,18A,2500-2599,ROBINHOOD,-,-,1,
2010-09-02,22,Robbery,10H60,13H,3700-3799,ROSEDALE,-,-,1,
2010-09-03,01,Robbery,11H30,13R,8200-8299,GARLAND,DR,-,1,
2010-09-03,02,Robbery,1A30,13R,1200-1299,WESTHEIMER,RD,-,1,
2010-09-03,03,Robbery,5F40,20A,8400-8499,WILLOW PLACE,DR,N,1,
2010-09-03,03,Robbery,19G30,20P,12900-12999,HIGH STAR,DR,-,1,
2010-09-03,02,Robbery,18F20,18T,5600-5699,WESTHEIMER,RD,-,1,
2010-09-03,01,Robbery,9C20,03B,2200-2299,MCCARTY,-,-,1,
