Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2014-11-05,08,Burglary,10H50,Residence or House,3400-3499,SIMMONS,-,-,1
2014-11-08,15,Theft,10H50,"Amusement Park, Bowling Alley, Skate Rink",3800-3899,HOLMAN,-,-,1
2014-11-09,04,Auto Theft,10H50,"Road, Street, or Sidewalk",3400-3499,DENNIS,ST,-,1
2014-11-24,18,Burglary,10H50,Apartment,3200-3299,TRUXILLO,-,-,1
2014-11-24,22,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3500-3599,DENNIS,ST,-,1
2014-11-26,19,Burglary,10H50,High School,3700-3799,SAMPSON,-,-,1
2014-11-05,22,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3300-3399,SAMPSON,-,-,1
2014-11-04,15,Auto Theft,10H50,Residence or House,3800-3899,DREW,ST,-,1
2014-11-07,14,Theft,10H50,University or College,4800-4899,CALHOUN,RD,-,1
2014-11-08,11,Theft,10H50,Other Parking Lot,3500-3599,REEVES,-,-,1
2014-11-08,12,Burglary,10H50,Residence or House,2100-2199,WINBERN,-,-,1
2014-11-13,08,Theft,10H50,Residence or House,2900-2999,CHARTRES,-,-,1
2014-11-03,00,Robbery,10H50,Service or Gas Station,3300-3399,DOWLING,ST,-,1
2014-10-02,09,Theft,10H50,"Other, Unknown, or Not Listed",2500-2599,MCGOWEN,ST,-,1
2014-10-31,01,Burglary,10H50,Residence or House,3100-3199,SAINT CHARLES,-,-,1
2014-11-12,17,Burglary,10H50,"Multi-Plex Home (Duplex,Triplex Etc.)",3000-3099,TRUXILLO,-,-,1
2014-11-10,08,Robbery,10H50,"Road, Street, or Sidewalk",2800-2899,TUAM,-,-,1
2014-11-09,10,Theft,10H50,Restaurant or Cafeteria Parking Lot,UNK,DOWLING,ST,-,1
2014-11-07,18,Theft,10H50,"Road, Street, or Sidewalk",3000-3099,TRUXILLO,-,-,1
2014-11-24,15,Theft,10H50,University or College,4000-4099,TUAM,-,-,1
2014-11-21,12,Burglary,10H50,Apartment,2500-2599,WEBSTER,-,-,1
2014-11-22,13,Theft,10H50,Miscellaneous Business (Non-Specific),3200-3299,ENNIS,ST,-,1
2014-11-14,12,Auto Theft,10H50,"Church, Synagogue, or Temple Parking Lot",3800-3899,WHEELER,-,-,1
2014-11-18,13,Theft,10H50,"Road, Street, or Sidewalk",3700-3799,ROSALIE,-,-,1
2014-11-29,12,Burglary,10H50,"Vacant Single Occ Resd(House,Townhs,Dplex)",2800-2899,TIERWESTER,-,-,1
2001-08-01,19,Theft,10H50,,3000-3099,CLEBURNE,-,-,1
2009-05-24,09,Aggravated Assault,10H50,Residence or House,3000-3099,TRUXILLO,-,-,1
2014-11-04,15,Theft,10H50,Miscellaneous Business (Non-Specific),3700-3799,ELGIN,ST,-,1
2014-11-13,12,Aggravated Assault,10H50,Residence or House,2100-2199,BERRY,ST,-,1
2014-11-15,07,Burglary,10H50,Restaurant or Cafeteria Parking Lot,3400-3499,DOWLING,ST,-,1
2014-11-20,08,Burglary,10H50,Residence or House,3300-3399,ST EMANUEL,-,-,1
2014-11-21,21,Robbery,10H50,"Road, Street, or Sidewalk",2200-2299,VELASCO,-,-,1
2014-11-20,17,Theft,10H50,"Libraries, Museums",4700-4799,CALHOUN,RD,-,1
2014-11-20,18,Robbery,10H50,"Road, Street, or Sidewalk",3200-3299,BEULAH,ST,-,1
2014-11-19,14,Theft,10H60,Driveway,2300-2399,BLODGETT,ST,-,1
2014-11-18,16,Theft,10H60,Construction Site,4700-4799,MARTIN LUTHER KING,BLVD,-,1
2014-11-23,13,Burglary,10H60,,4000-4099,GRIGGS,-,-,1
2014-11-24,07,Theft,10H60,Apartment Parking Lot,4000-4099,MACGREGOR,WAY,S,1
2014-11-30,15,Burglary,10H60,Apartment,3500-3599,DIXIE,DR,-,1
2014-11-28,22,Aggravated Assault,10H60,Residence or House,4300-4399,BASTROP,ST,-,1
